,time,difficulty,duration,reward,web,email,mobile,social,bogo,discount,informational,age,income,member_date_int,F,M,offer_impact,preds
0,0,5,7,5,1,1,1,0,1,0,0,75,100000.0,1380,1,0,-0.22752857142857144,0.39614487
1,0,20,10,5,1,1,0,0,0,1,0,118,65405.0,1467,0,0,-0.006642857142857142,-0.09580976
2,0,5,5,5,1,1,1,1,1,0,0,65,53000.0,1656,0,1,-0.05174715909090909,-0.021289825
3,0,10,5,10,1,1,1,1,1,0,0,69,57000.0,1112,1,0,-0.3103052325581395,0.26619375
4,0,10,7,10,0,1,1,1,1,0,0,20,30000.0,1078,1,0,0.2852192362093352,0.37329882
5,0,0,3,0,0,1,1,1,0,0,1,39,51000.0,302,0,1,-0.07300984528832631,0.5159982
6,0,10,10,2,1,1,1,1,0,1,0,48,53000.0,1173,1,0,-0.08091040462427745,0.24793771
7,0,10,7,10,0,1,1,1,1,0,0,37,92000.0,1386,0,1,2.3273408769448376,0.5709364
8,0,10,7,2,1,1,1,0,0,1,0,42,96000.0,902,0,1,4.528685714285714,0.27918395
9,0,7,7,3,1,1,1,1,0,1,0,53,72000.0,1073,1,0,-0.23745403111739746,0.34145904
10,0,10,7,10,0,1,1,1,1,0,0,66,71000.0,1800,0,1,-0.0447949080622348,0.2025469
11,0,5,5,5,1,1,1,1,1,0,0,40,53000.0,1674,0,1,-0.011654778887303851,0.13632426
12,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1104,0,0,-0.0236154949784792,0.07979718
13,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,1486,0,0,-0.0015439093484419266,-0.06832194
14,0,10,7,10,0,1,1,1,1,0,0,72,72000.0,1109,1,0,-0.28969870875179343,0.4730675
15,0,10,10,2,1,1,1,1,0,1,0,76,63000.0,983,0,1,-0.28408823529411764,0.120046526
16,0,5,5,5,1,1,1,1,1,0,0,39,60000.0,1513,1,0,-0.9746109510086456,0.18602294
