,offer_type,offer_id,person,time,difficulty,duration,reward,web,email,mobile,social,bogo,discount,informational,age,income,member_date_int,F,M,typical_spending_m1,num_offers,spending_during_offer
0,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,78afa995795e4d85b5d9ceeca43f5fef,0,5,7,5,1,1,1,0,1,0,0,75,100000.0,1380,1,0,0.22752857142857144,2,0.0
1,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,a03223e636434f42ac4c3df47e8bac43,0,20,10,5,1,1,0,0,0,1,0,118,65405.0,1467,0,0,0.006642857142857142,2,0.0
5,bogo,f19421c1d4aa40978ebb69ca19b0e20d,389bc3fa690240e798340f5a15918d5c,0,5,5,5,1,1,1,1,1,0,0,65,53000.0,1656,0,1,0.05174715909090909,2,0.0
22,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,102e9454054946fda62242d2e176fdce,0,10,5,10,1,1,1,1,1,0,0,69,57000.0,1112,1,0,0.3103052325581395,4,0.0
27,bogo,ae264e3637204a6fb9bb56bc8210ddfd,02c083884c7d45b39cc68e1314fec56c,0,10,7,10,0,1,1,1,1,0,0,20,30000.0,1078,1,0,0.03906647807637906,1,2.27
31,informational,5a8bc65990b245e5a138643cd4eb9837,be8a5d1981a2458d90b255ddc7e0d174,0,0,3,0,0,1,1,1,0,0,1,39,51000.0,302,0,1,0.07300984528832631,1,0.0
34,discount,fafdcd668e3743c1bb461111dcafc2a4,9c64321646bf40f6ad1bc98864eaa6b8,0,10,10,2,1,1,1,1,0,1,0,48,53000.0,1173,1,0,0.08091040462427745,3,0.0
35,bogo,ae264e3637204a6fb9bb56bc8210ddfd,676506bad68e4161b9bbaffeb039626b,0,10,7,10,0,1,1,1,1,0,0,37,92000.0,1386,0,1,0.2455162659123055,1,18.01
36,discount,2906b810c7d4411798c6938adc9daaa5,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,0,10,7,2,1,1,1,0,0,1,0,42,96000.0,902,0,1,0.4084571428571429,2,34.56
47,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,8c7df0c393db488aac3e58b06a7ea5f9,0,7,7,3,1,1,1,1,0,1,0,53,72000.0,1073,1,0,0.23745403111739746,1,0.0
52,bogo,ae264e3637204a6fb9bb56bc8210ddfd,3f244f4dea654688ace14acb4f0257bb,0,10,7,10,0,1,1,1,1,0,0,66,71000.0,1800,0,1,0.0447949080622348,1,0.0
54,bogo,f19421c1d4aa40978ebb69ca19b0e20d,262ad0fb526a4d53b572007da60cce24,0,5,5,5,1,1,1,1,1,0,0,40,53000.0,1674,0,1,0.011654778887303851,3,0.0
65,discount,fafdcd668e3743c1bb461111dcafc2a4,53bac762af27471eb294ff89ca1bae2c,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1104,0,0,0.0236154949784792,2,0.0
72,bogo,f19421c1d4aa40978ebb69ca19b0e20d,182e68952b474700b171e21b85c258ac,0,5,5,5,1,1,1,1,1,0,0,118,65405.0,1486,0,0,0.0015439093484419266,2,0.0
75,bogo,ae264e3637204a6fb9bb56bc8210ddfd,f8aedd0cbea0419c806842b4265b82e5,0,10,7,10,0,1,1,1,1,0,0,72,72000.0,1109,1,0,0.28969870875179343,2,0.0
77,discount,fafdcd668e3743c1bb461111dcafc2a4,a9780228a1d04539afdee8b745e4be10,0,10,10,2,1,1,1,1,0,1,0,76,63000.0,983,0,1,0.28408823529411764,4,0.0
80,bogo,f19421c1d4aa40978ebb69ca19b0e20d,6d28f18e91324d358d69d1e4b01f1ace,0,5,5,5,1,1,1,1,1,0,0,39,60000.0,1513,1,0,0.9746109510086456,4,0.0
84,discount,2906b810c7d4411798c6938adc9daaa5,13033baa9d294c3c9165a00d71b72614,0,10,7,2,1,1,1,0,0,1,0,53,96000.0,1521,0,1,0.2003463203463204,3,0.0
86,informational,5a8bc65990b245e5a138643cd4eb9837,1a353048b0884fc5a0afa27677ef1e80,0,0,3,0,0,1,1,1,0,0,1,51,56000.0,1476,1,0,0.05758087201125176,1,0.0
87,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,c099206f76b1414db7552f163520053c,0,5,7,5,1,1,1,0,1,0,0,118,65405.0,731,0,0,0.033217391304347824,4,0.0
