,Unnamed: 0,offer_type,person,time,difficulty,duration,reward,web,email,mobile,social,bogo,discount,informational,age,income,member_date_int,F,M,typical_spending_m1,num_offers,spending_during_offer,preds
0,0,bogo,78afa995795e4d85b5d9ceeca43f5fef,0,5,7,5,1,1,1,0,1,0,0,75,100000.0,1380,1,0,0.22752857142857144,2,0.0,4.0060153
1,1,discount,a03223e636434f42ac4c3df47e8bac43,0,20,10,5,1,1,0,0,0,1,0,118,65405.0,1467,0,0,0.006642857142857142,2,0.0,0.07991645
2,5,bogo,389bc3fa690240e798340f5a15918d5c,0,5,5,5,1,1,1,1,1,0,0,65,53000.0,1656,0,1,0.05174715909090909,2,0.0,-0.11694831
3,22,bogo,102e9454054946fda62242d2e176fdce,0,10,5,10,1,1,1,1,1,0,0,69,57000.0,1112,1,0,0.3103052325581395,4,0.0,0.7993062
4,27,bogo,02c083884c7d45b39cc68e1314fec56c,0,10,7,10,0,1,1,1,1,0,0,20,30000.0,1078,1,0,0.039066478076379064,1,2.27,2.1943913
5,31,informational,be8a5d1981a2458d90b255ddc7e0d174,0,0,3,0,0,1,1,1,0,0,1,39,51000.0,302,0,1,0.07300984528832631,1,0.0,0.27686334
6,34,discount,9c64321646bf40f6ad1bc98864eaa6b8,0,10,10,2,1,1,1,1,0,1,0,48,53000.0,1173,1,0,0.08091040462427745,3,0.0,1.2223608
7,35,bogo,676506bad68e4161b9bbaffeb039626b,0,10,7,10,0,1,1,1,1,0,0,37,92000.0,1386,0,1,0.2455162659123055,1,18.01,7.409481
9,47,discount,8c7df0c393db488aac3e58b06a7ea5f9,0,7,7,3,1,1,1,1,0,1,0,53,72000.0,1073,1,0,0.23745403111739746,1,0.0,4.0497766
10,52,bogo,3f244f4dea654688ace14acb4f0257bb,0,10,7,10,0,1,1,1,1,0,0,66,71000.0,1800,0,1,0.0447949080622348,1,0.0,0.17912364
11,54,bogo,262ad0fb526a4d53b572007da60cce24,0,5,5,5,1,1,1,1,1,0,0,40,53000.0,1674,0,1,0.011654778887303851,3,0.0,0.5953447
12,65,discount,53bac762af27471eb294ff89ca1bae2c,0,10,10,2,1,1,1,1,0,1,0,118,65405.0,1104,0,0,0.0236154949784792,2,0.0,0.664151
